source,target,weight
1099182336,1053561688,1
1099182336,1096952622,1
1099182336,1065305623,1
1018779000,1047197153,1
1018779000,1065850037,1
1018779000,1065348250,1
1018779000,1033758252,1
1018779000,1025862663,1
1018779000,1013939098,1
1018779000,1065834952,1
1018779000,1073116529,1
1018779000,1038853275,1
1018779000,1039001755,1
1092217633,1038931796,1
1038931796,1077974289,1
1038931796,1073348035,1
1038931796,1083894340,1
1038931796,1019998361,1
1038931796,1072919020,1
1038931796,1032109917,1
1038931796,1075820644,1
1038931796,1082822840,1
1038931796,1005536586,1
1038931796,1096419153,1
1038931796,1050064375,1
1038931796,1065125593,1
1038931796,1055607468,1
1038931796,1060872920,1
1038931796,1044961694,1
1038931796,1036567701,1
1038931796,1048925828,1
1038931796,1047451014,1
1047197153,1067915919,1
1047197153,1065850037,1
1047197153,1082562788,1
1047197153,1056454944,1
1047197153,1065348250,1
1047197153,1016837200,1
1047197153,1083894340,1
1047197153,1073478717,1
1047197153,1017229199,1
1047197153,1057026885,1
1047197153,1075820644,1
1047197153,1043629759,1
1047197153,1005536586,1
1047197153,1032132964,1
1047197153,1083860064,1
1047197153,1085516094,1
1047197153,1069836570,1
1047197153,1065834952,1
1047197153,1043967829,1
1047197153,1073116529,1
1047197153,1092135873,1
1047197153,1076554888,1
1047197153,1072244719,1
1047197153,1038853275,1
1047197153,1081277350,1
1047197153,1051405035,1
1067915919,1069128917,1
1067915919,1071015285,1
1067915919,1048471281,1
1067915919,1085212129,1
1065850037,1020373478,1
1065850037,1064723533,1
1065850037,1032042386,1
1065850037,1098438366,1
1065850037,1065143559,1
1065850037,1035231966,1
1065850037,1038032308,1
1065850037,1083404381,1
1065850037,1060872920,1
1065850037,1081277350,1
1077974289,1020373478,1
1077974289,1084966719,1
1077974289,1071015285,1
1077974289,1073348035,1
1077974289,1061858786,1
1077974289,1073478717,1
1077974289,1033758252,1
1077974289,1017229199,1
1077974289,1090125537,1
1077974289,1009598911,1
1077974289,1072919020,1
1077974289,1072751254,1
1077974289,1072499463,1
1077974289,1017791154,1
1077974289,1065143559,1
1077974289,1091827726,1
1077974289,1045530624,1
1077974289,1098400959,1
1077974289,1061068817,1
1077974289,1079691615,1
1077974289,1036567701,1
1077974289,1051405035,1
1020373478,1069128917,1
1020373478,1099577745,1
1020373478,1064723533,1
1020373478,1019998361,1
1020373478,1035068688,1
1020373478,1017791154,1
1020373478,1072316195,1
1020373478,1031889046,1
1020373478,1013939098,1
1020373478,1092654337,1
1020373478,1078825829,1
1020373478,1084158242,1
1084966719,1032109917,1
1069128917,1005268222,1
1082562788,1099577745,1
1082562788,1016837200,1
1082562788,1072499463,1
1082562788,1095609304,1
1082562788,1070133920,1
1082562788,1078746920,1
1082562788,1048471281,1
1082562788,1016885975,1
1082562788,1007721131,1
1056454944,1032132964,1
1065348250,1072751254,1
1065348250,1068743272,1
1099577745,1035068688,1
1099577745,1030373540,1
1099577745,1041087865,1
1099577745,1037678029,1
1099577745,1044910474,1
1071015285,1009598911,1
1071015285,1085074868,1
1016837200,1032042386,1
1016837200,1098438366,1
1016837200,1038032308,1
1016837200,1045530624,1
1016837200,1061068817,1
1064723533,1057026885,1
1064723533,1018603895,1
1064723533,1040013574,1
1064723533,1054724844,1
1064723533,1086727385,1
1064723533,1025862663,1
1064723533,1004631619,1
1064723533,1055607468,1
1064723533,1095645623,1
1073348035,1031549882,1
1073348035,1050064375,1
1073348035,1092654337,1
1073348035,1029362704,1
1073348035,1044961694,1
1083894340,1031549882,1
1083894340,1087945920,1
